,content
1366,came across error today. wondering anyone tell means: cannot sort row size 9522 greater allowable maximum 8094. 8094 bytes characters fields problem joining multiple tables exceeding limit sql server maximum row size
1367,php great function called htmlspecialcharacters pass string replaces html's special characters safe equivalents almost one stop shop sanitizing input. nice right well equivalent .net libraries anyone link code samples libraries well phps htmlspecialcharacters equivalent .net
1368,options industry enterprise reporting i'm currently using ssrs 2005 know another version coming new release mssql. seems like might also good time investigate market see else there. encountered like dislike thank you. enterprise reporting solutions
1369,seems like way pass -i parameter initially run less. anyone know secret hack make something like work something search case insensitive search using pattern modifier using less
1370,know least 10 different ways structure project version control. i'm curious methods used ones work you. i've worked svn tfs currently unfortunately vss. i've seen version control implemented poorly ok never great. get ball rolling review things i've seen. example svn-based applies vcs's much distributed version control . branch individual projects part site division web projectname vb src trunk branches tags branch whole site case i've seen whole site except core components branched. division trunk branches tags web projectname vb src use main-line default branch necessary huge changes. structure projects version control
1371,"looking lightweight source control system use ""hobby"" projects one person working project. anyone suggestions ideally interface visual studio either naively another plug-in outside anything works would nice replace gmail source control. lightweight source control"
1372,need periodically download extract save contents http: data.dot.state.mn.us dds det_sample.xml.gz disk. anyone experience downloading gzipped files c# download extract gzipped file c#
1373,"unit testing roughly speaking testing bits code isolation test code. immediate advantages come mind are: running tests becomes automate-able repeatable test much granular level point-and-click testing via gui rytmis question current ""best practices"" terms tools well use unit testing part daily coding lets try somewhat language agnostic cover bases. getting started unit testing"
1374,best way sanitize user input python-based web application single function remove html characters necessary characters combinations prevent xss sql injection attack sanitising user input using python
1375,advice rules selecting multiplier use multiplicative hash function. function computing hash value string. choosing multiplier string hash function
1376,may know vs 2008 ctrl+tab brings nifty navigator window thumbnail file. love one tiny thing annoying feature: window stays around releasing ctrl key. alt+tab windows hit tab get item want still holding alt key find want lifting alt key selects item. wish vs 2008 would same. lift ctrl window still there. hit enter actually select item. find annoying. anyone know make vs 2008 dismiss window release ctrl key vs 2008 - ctrl-tab behavior
1377,company work develop gui c# application kernel mainly developed delphi 5 historical reasons lot components made com+. related specific sort application two questions: experienced guys delphi com workrounds work buggy tlb interface bugs are: ide crashing edition large tlb lost methods ids tlb corruption etc. found good solution. actually tried upgrade new 2007 version. new ide tlb interface bugs found before. control tlbs versions tlb file binary format conflict resolutions hard do. tried exporting interfaces descriptions idl commiting cvs found good way generate tlbs idl using delphi. additionaly midl tool provided microsoft parse correctly idl files exported delphi. delphi com: tlb maintenance issues
1378,"i've looking decent guide haskell time able find one seems interesting enough read makes sense. i've prior exposure haskell years back can't remember much it. remember ""aha!""-feeling incredible finally got actually fun play i'm looking rediscover lost art haskell. i'm familiar ruby functional programming tricks think i'm completely dark. links beginners guide haskell"
1379,html marked ready make rain css. problem go back find id class names get started. need tool parses html spits stylesheet possible elements ready styled maybe even defaults . tool exist tool generating css skeleton
1380,"i'm trying compile 100 java classes different packages clean directory incremental compiles using following ant tasks: <target name=""-main-src-depend""> <depend srcdir=""$ src.dir "" destdir=""$ bin.dir "" cache=""$ cache.dir "" closure=""true"" > < target> <target name=""compile"" depends=""-main-src-depend"" description=""compiles project.""> <echo>compiling< echo> <javac target=""$ javac.target "" source=""$ javac.source "" debug=""$ javac.debug "" srcdir=""$ src.dir "" destdir=""$ bin.dir ""> <classpath> <path refid=""runtime.classpath"" > <path refid=""compile.classpath"" > < classpath> < javac> < target> however first time run compile task always get stackoverflowexception. run task compiler incremental build everything works fine. undesirable since using cruisecontrol automatic daily build causing false build failures. quick-and-dirty solution created 2 separate tasks compiling portions project each. really think solution hold classes added future want adding new compile tasks every time hit ""compile limit"". ant's tasks throws stackoverflowexception"
1381,reading binary file parsing program. need iterate file look certain markers split file pass parts respective object’s constructors. advantage holding file stream either memorystream filestream converted byte array keith difference byte array memorystream
1382,curious others feel me. controls datagrid gridview formview etc. great presentations demo's only. take time tweak controls override default behavior hooking silly events etc. big headache. control use repeater since offers flexibility others. short pretty much bloatware. i'd rather weave html css use custom paging queries. need throw quick page controls great especially trying woo people ease .net development . must minority otherwise ms dedicated much development time types controls... ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ actually uses datagrid gridview formview etc production apps
1383,i'm looking good online service notes documents think google docs decent web ui offers api clients read write stored data. google docs almost perfect - except there's way update contents existing documents. recommended notes doc service offers api
1384,would like nice template development. reset increment identity's starting value sql server reset increment identity's starting value sql server
1385,i've using eclipse rdt radrails lot lately i'm quite happy i'm wondering guys know decent alternatives. know netbeans also supports ruby days i'm sure offer eclipse. please list features think brilliant useful suggesting ide makes easier compare. also said ruby rails. rails support plus prefer things none rails-centric. also available linux optionally solaris. ruby ide prefer
1386,"i'm trouble reading ""chunked"" response using streamreader read stream returned getresponsestream httpwebresponse: response httpwebresponse streamreader reader = new streamreader response.getresponsestream string output = reader.readtoend throws exception... reader.readtoend method called i'm getting following system.io.ioexception: unable read data transport connection: connection closed. code works fine server returns ""non-chunked"" response. way i've able get work use http 1.0 initial request instead http 1.1 default seems like lame work-around. ideas chuck solution works pretty good. still throws ioexeception last read . inspecting contents stringbuilder looks like data received. perhaps need wrap read try-catch swallow ""error"". reading ""chunked"" response httpwebresponse"
1387,convert datetime structure equivalent rfc 3339 formatted string representation parse string representation back datetime structure rfc-3339 date-time format used number specifications atom syndication format. parse convert datetime rfc 3339 date-time format
1388,resharper certainly thinks box nag convert dooberry dooberry = new dooberry var dooberry = new dooberry really considered best style always favour implictly typed local variables c# 3.0
1389,"i'm currently working application sql-server database need get full text search working allows us search people's names. currently user enter name field searches 3 different varchar cols. first last middle names say 3 rows following info. 1 - phillip - j - fry 2 - amy - null - wong 3 - leo - null - wong user enters name 'fry' return row 1. however enter phillip fry fr phil get nothing.. understand this. search wong get rows 2 3 search amy wong get nothing. currently query using containstable switched freetexttable contains freetext without noticeable differences results. table methods preferred return results ranking. query. .... name nvarchar 100 .... --""""s added prevent crash searching one word. declare searchstring varchar 100 set searchstring = '""'+ name+'""' select per.lastname per.firstname per.middlename person per inner join containstable person lastname firstname middlename searchstring keytbl per.person_id = keytbl. key key_tbl.rank > 2 order keytbl.rank desc .... ideas... full text search working correctly sql server full text searching"
1390,developing application involves substantial amount xml transformations. proper input test data per se dtd xsd files. we'd like generate test data files. easy free way edit apparently free tools agree oxygenxml one best tools this. generate sample xml documents dtd xsd
1391,boost way vs2005 users experience tr2 also idiot proof way downloading tr2 related packages looking boost installer provided boostpro consulting. select options threading options packages msvc8 requires 1.1gb. short space seems ridiculous library needs gigabyte space takes bpc long time catch current release. packages need i'm really interested comprise std::tr2 find comparing offer tr2 report selecting list even clear needed fact version behind annoys me. know previous encounters boost 1.33.1 self compiling miserable experience: lot time wasted get started hoard errors passes across screen faster read left uneasy feeling something broken quite know what. i've never problems apache library another rant... c++ std::tr2 vs2005
1392,know yield i've seen examples can't think real life applications used solve specific problem ideally problem cannot solved way real life applications yield
1393,run external program pass command line parameters using c use operating system api include solution windows mac linux. spawn another process c
1394,know ilist interface list concrete type still know use one. i'm need sort findall methods use interface. right better way decide use interface concrete type use ilist use list
1395,"i've tried several times luck. reading post made interested again. anyone tell following work < php $guest = 1 $editor = 2 $admin = 4 $user = $editor $user == $editor $admin echo ""test"" > implementing permissions php"
1396,i'll take away obvious one here: mic webcam support. ran silverlight team would highest priority silverlight v.next disclaimer: get good responses i'll pass along folks know silverlight team. update: best place report silverlight feature requests uservoice site: http: silverlight.uservoice.com what's top feature request silverlight
1397,"c++ project heavily used assertion statement following: int dowonderfulthings const int fantasticdata assert fantasticdata !fantasticdata return -1 return wow_value tdd community seems like enjoy something like this: int domorewonderfulthings const int fantasticdata !fantasticdata return error_value ... return aha_value test tdd_enjoy assert_eq error_value domorewonderfulthings 0l assert_eq aha_value domorewonderfulthings ""foo"" experiences first approaches let remove many subtle bugs. tdd approaches smart idea handle legacy codes. ""google"" - compare ""first method"" ""walk shore life-vest swim ocean without safe guard"". one better one makes software robust test cases vs assertion statement"
1398,monthly status database view need build report based on. data view looks something like this: category revenue yearh month bikes 10 000 2008 1 bikes 12 000 2008 2 bikes 12 000 2008 3 bikes 15 000 2008 1 bikes 11 000 2007 2 bikes 11 500 2007 3 bikes 15 400 2007 4 ... forth view product category revenue year month. want create report comparing 2007 2008 showing 0 months sales. report look something like this: category month rev. year rev. last year bikes 1 10 000 0 bikes 2 12 000 11 000 bikes 3 12 000 11 500 bikes 4 0 15 400 key thing notice month 1 sales 2008 therefore 0 2007. also month 4 sales 2008 hence 0 sales 2007 still show up. also report actually financial year - would love empty columns 0 sales say month 5 either 2007 2008. query got looks something like this: select sp1.program sp1.year sp1.month sp1.totalrevenue isnull sp2.totalrevenue 0 lastyeartotalrevenue pvmonthlystatusreport sp1 left outer join pvmonthlystatusreport sp2 sp1.program = sp2.program sp2.year = sp1.year - 1 sp1.month = sp2.month sp1.program = 'bikes' sp1.category = category sp1.year >= financialyear sp1.year <= financialyear + 1 sp1.year = financialyear sp1.month > 6 sp1.year = financialyear + 1 sp1.month <= 6 order sp1.year sp1.month problem query would return fourth row example data since sales 2008 actually 2007. probably common query problem sql rusty front-end development long. help greatly appreciated! oh btw i'm using sql 2005 query helpful new features might help let know. sql query compare product sales month
1399,"perl execute system commands using system `` backticks . even capture output command variable. however hides program execution background person executing script can't see it. normally useful sometimes want see going behind scenes. make commands executed printed terminal programs' output printed terminal would .bat equivalent "" echo on"". perl's system print command running"
1400,develop c++ applications linux environment. tools use every day include eclipse cdt plugin gdb valgrind. tools people use anything linux rivals slickness microsoft visual studio tools use develop c++ applications linux
1401,"looking http: tldp.org ldp abs html why-shell.html struck by: use shell scripts ... mission-critical applications upon betting future company ""bet future company"" shell scripts"
1402,"creating zip file zipfile python 2.5 works ok far: import zipfile os locfile = ""test.txt"" loczip = os.path.splitext locfile 0 + "".zip"" zip = zipfile.zipfile loczip ""w"" zip.write locfile zip.close find encrypt files zip file. could use system call pkzip -s suppose must ""pythonic"" way. i'm looking open source solution. create encrypted zip file python"
1403,"although i've done programming i'm programmer. i've recently agreed coordinate getting website club. resources are--me done web content maintenance putting content html coldfusion templates via gatekeeper site simple html xml coding serious web developer database programming coldfusion etc. talks way heads rest us two designers use dreamweaver guy created original badly broken site front page wants use expression web assorted club members even less technically inclined. need first text graphics gorgeous design created dreamweaver links including existing pdf newsletters download maybe hooking existing blogspot blog. later earlier hard may add mouseover menus links gallery calendar mapquest hotlinks on. question--first real problem sticking html jpegs initial site second ""later"" part site development what's simplest go third costs simple way make us regret road also good site resource learn newbie perspective ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ really simple website--how basic go"
1404,large hi-def javascript-intensive image banner site i'm designing. everyone's opinion using iframes incur load time css alternative iframe feel free preview site. much work progress. ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ iframe best practices
1405,student studying software development feel programming general broad subject try know everything. proficient decide areas focus learning understanding. certain skill sets synergize like data-driven web development sql experience. however win32 api experience world may directly apply linux development. leads believe beginning programmer start deciding want specialize general understanding basic principles software development. multi-part question really: common specializations within computer programming software development specializations long-term value foundation specializations marketable skills skill sets complement areas specialization hinder ability developing areas specialization. areas specialization within programming would recommend beginner
1406,would efficient way compare two double two float values simply correct: bool comparedoubles1 double double b return == b something like: bool comparedoubles2 double double b diff = - b return diff < epsilon && -diff < epsilon seems waste processing. anyone know smarter float comparer effective way float double comparison
1407,relation question using opengl extensions what's purpose extension functions would want use tradeoffs gotchas associated using opengl extensions benefits tradeoffs using
1408,i've created script runs every night linux server uses mysqldump back mysql databases .sql files packages together compressed .tar file. next step want accomplish send tar file email remote email server safekeeping. i've able send raw script body email piping backup text file mailx like so: $ cat mysqldbbackup.sql mailx backup email.com cat echoes backup file's text piped mailx program recipient's email address passed argument. accomplishes need think could one step better way using shell scripts otherwise send compressed .tar file outgoing email message attachment would beat deal long email messages contain header data often word-wrapping issues etc. send file email attachment using linux command line
1409,i've using opengl extensions windows painful way. glew easier way go get started using glew use opengl extensions windows
1410,"open default mail program subject body cross-platform way unfortunately client app written java website. would like work cross-platform way means windows mac sorry linux . happy execute vbscript windows applescript os x. idea scripts contain. would love execute user's default program vs. searching outlook whatever. os x tried executing command: open mailto: subject=mysubject&body=thebody url escaping needed replace spaces %20. updated windows play sorts games get start run correctly. proper java incantation: class win32 extends os public void email string subject string body throws exception string cmd = ""cmd.exe c start \""\"" \"""" + formatmailto subject body + ""\"""" runtime.getruntime .exec cmd open default mail program subject body cross-platform way"
1411,php script runs cgi program http authenticate header gets eaten spit out. would like implement kind form based authentication. added constraint database session data stored. open master username password. need protect application intruder know credentials. would implement cookies could present form validates send back cookie hash ip address come secret code. prevent pages rendering unless thing decrypts correctly. idea implement php. would implement form based authentication without backing database
1412,make display frames per second independent game logic game logic runs speed matter fast video card render. separate game logic display
1413,reading c++ faq curious friend declaration. personally never used however interested exploring language. good example using friend reading faq bit longer like idea << >> operator overloading adding friend classes. however sure break encapsulation. exceptions stay within strictness oop use 'friend' c++
1414,"anyone see server-side javascript taking couple implementations seems bit stretch ""doing can"" type attitude . i'm curious know anyone actually writes javascript server-side experiences date. also implementation generally seen stable server-side javascript take implementation stable"
1415,"try loading normal .jpg file internet explorer 6.0. get error saying picture load. try browser works fine. what's wrong .jpg file normal picture sitting web server. even create simple web page: <a href=""http: www.zodiacwheels.com images wheels blackout_thumb.jpg"">blah< a> use right click + save target ie6 save desktop valid jpg file. however load browser! ! even tried checking header response mime type looks fine: andy debian:~$ telnet www.zodiacwheels.com 80 trying 72.167.174.247... connected zodiacwheels.com. escape character '^ '. head images wheels blackout_thumb.jpg http 1.1 host: www.zodiacwheels.com http 1.1 200 ok date: wed 20 aug 2008 06:19:04 gmt server: apache last-modified: wed 20 aug 2008 00:29:36 gmt etag: ""1387402-914ac-48ab6570"" accept-ranges: bytes content-length: 595116 content-type: image jpeg site needs able work ie6 come load simple .jpg file ie6 - can't load normal jpg"
1416,anyone aware language feature technique c++ prevent child class riding particular method parent class class base public: bool someguaranteedresult return true class child : public base public: bool someguaranteedresult return false haha broke things! even though virtual still allowed least metrowerks compiler i'm using get compile time warning hiding non-virtual inherited function x. way prevent method overridden subclasses
1417,system.windows.threading.dispatcherobject class dependencyobject based contains useful function called checkaccess determines whether code running ui thread. wanted use yesterday puzzled find intellisense show function verifyaccess throws exception ui thread even though msdn library lists it. decided investigate class using reflector. seems function question editorbrowsable editorbrowsablestate.never attribute attached it. dispatcher class used dispatcherobject attribute attached checkaccess verifyaccess : public abstract class dispatcherobject ... editorbrowsable editorbrowsablestate.never public bool checkaccess editorbrowsable editorbrowsablestate.never public void verifyaccess ... editorbrowsable editorbrowsablestate.advanced public dispatcher dispatcher get public sealed class dispatcher ... editorbrowsable editorbrowsablestate.never public bool checkaccess editorbrowsable editorbrowsablestate.never public void verifyaccess ... believe application attribute random joke question is: methods called directly protected internal like useful methods wpf dispatcherobject.checkaccess verifyaccess hidden intellisense
1418,note question continues possible coax visual studio 2008 using italics comments long question title got here's problem: convert style property consolas italic font bold without actually modifying actual glyphs want font still i.e. italic merely want os believe bold font. please mention name tool ex: fontforge describe steps achieve point description. modify style property font windows
1419,"summary hi ok adventures custom controls... summary learned three main ""classes"" custom controls. please feel free correct wrong! usercontrols - inherit usercontrol contained within ascx file. pretty limited quick light way get ui commonality designer support. custom composite controls - controls inherit webcontrol add pre-existing controls control within createchildcontrols method. provides great flexibility lack designer support without additional coding. highly portable though since compiled dll. custom rendered controls - similar custom composite controls added web control library project. rendering control completely controlled programmer overriding render method. thoughts.. ok playing custom composites found following: little control html output making difficult ""debug"". createchildcontrols subsequent methods get real busy controls.add mycontrol everywhere. found rendering tables layout content considerably awkward. question .. admit new could way off-base points noted above.. use composites neat tricks control html output say ""to hell it"" go ahead create custom rendered control something keen get really firm mind since know much good control development cut overall development time. look forward answers ^_^ asp.net custom controls - composites"
1420,c# app want always prompt elevation application start choose output path uac protected need request elevation. check path uac protected request elevation mid-execution request windows vista uac elevation path protected
1421,anyone suggest good browser add-on tools extensions help development firebug installed firefox great dealing css html javascript suggestions firebug recommendations browser add-on tools help development
1422,c# implement interface members implicitly public. better could specify accessibility modifier protected internal except private course use abstract class instead non public members c# interfaces
1423,word wrap one must-have features modern text editor. word wrap handled best algorithm word-wrap text several million lines make word-wrap fast need solution projects must draw text various zoom level simultaneously beautiful appearance. running environment windows mobile devices. maximum 600 mhz speed small memory size. handle line information let's assume original data three lines. line 1. line 2. line 3. afterwards break text shown like this: line 1. line 2. line 3. allocate three lines suggestions ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ best word wrap algorithm
1424,proper way sending email minimal 1000 php reliable email queuing technique capable handle ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ email queueing php
1425,programmatic solution course... place file recycle bin instead delete
1426,table 'filename' column. recently performed insert column haste forgot append file extension filenames entered. fortunately '.jpg' images. easily update 'filename' column inserted fields assuming select recent rows based known id values include '.jpg' extension easiest way using t-sql ms-sql append string existing table cells
1427,"correct assuming difference ""windows files"" ""unix files"" linebreak system moved windows machine unix machine troubles format. need automate translation unix windows files get delivered system ""transportsystem"". i'll probably need something determine current format something transform format. newline thats big difference i'm considering reading files java.io. far know able handle readline. write line back line = readline print line + newlineinotherformat .... summary: samjudson: difference text files unix uses single line feed lf signify new line windows uses carriage return line feed crlf mac uses cr. cebjyre elaborates: os x uses lf unix - macos 9 use cr though mo could also difference character encoding national characters. ""unix-encoding"" many linux-variants use utf-8 default encoding. mac os also unix uses encoding macroman . sure windows default encoding is. mcdowell addition new-line differences byte-order mark cause problems files treated unicode windows. cheekysoft however another set problems may come across related single multi-byte character encodings. see strange unexpected chars end-of-line could reason. especially see square boxes question marks upside-down question marks extra characters unexpected accented characters. sadie unix files start . hidden. windows filesystem flag probably easy access to. may result files supposed hidden becoming visible client machines. file permissions vary two. probably find copy files onto unix system files belong user copying limited rights. need use chown chmod make sure correct users access them. exists tools help problem: pauldoo interested content text files yes line endings different. take look something like dos2unix may help here. cheekysoft pauldoo suggests tools like dos2unix useful. note may linux unix system fromdos tofrodos perhaps even general purpose toolbox recode. help java coding cheekysoft writing files reading files control often worth specifying encoding use java methods allow this. however also ensuring system locale matches save lot pain differences unix windows files"
1428,microsoft says visual studio 2008 installed version vista excluding started edition . sure home editions cause problems debugging virtual machines iis ms sql 2008 tools developers use old tools like visual basic 6.0. seems vista business would best home editions much popular. would stay windows xp pro vista edition best developer machine
1429,we're storing guid's ms sql database. there's legacy code guid.tostring passes varchar 64 there's newer code passes using unique identifier parameter. look results using ms sql management studio look different. byte order first three blocks reversed last one remains same. guid.tostring reverse byte order
1430,visualsvn server installed windows server serving several repositories. since web-viewer built visualsvn server minimalistic subversion browser i'd like install websvn top repositories. problem however can't seem get authentication work. ideally i'd like current repository authentication specified visualsvn work websvn though see repository names websvn can't actually browse without right credentials. visiting cached copy topmost link google query see i've found far looks promising. main blog page seems destroyed domain topmost page i'm referring the-wizzard.de found php functions could tack onto one php files websvn. followed modifications succeeded make websvn ask username password matter input let in. unfortunately php apache largely black magic me. anyone successfully integrated websvn visualsvn hosted repositories websvn visualsvn server anyone gotten authentication work
1431,"writing web application several areas site user upload files. basic working method store actual file server database table connects stored filename record relates to. question this: different table ""type"" file also files stored context-related locations server together examples: user profile photos job application cvs related documents cms pages etc. file file"
1432,currently using mysql product building keen move postgresql soon possible primarily licensing reasons. anyone else done move database lifeblood application eventually storing tbs data i'm keen hear experiences performance improvements losses major hurdles converting sql stored procedures etc. edit: clarify asked like mysql's licensing. developing commercial product currently depends mysql database back-end. license states need pay percentage list price per installation flat fee. startup less appealing. migrating mysql postgresql
1433,tried hadoop used without distributed filesystem goes share-nothing architecture would make sense i'm also interested performance results have... experience hadoop
1434,hello ladies gents! ok following question asp.net web service results proxy classes type conversion. i've come part project need get thinking cap on. basically large complex custom object needs returned web service consumed client application. based previous discussion know going take form proxy class es return type. overcome need basically copy properties one other. case something would really really really! like avoid! got thinking else could current thoughts enable object complete serialization xml return xml string web service. de-serialize client. mean fair bit attribute decorating least code endpoints light namely using .net xml serializer. thoughts large complex objects web service result
1435,"there's discussion going comp.lang.c++.moderated whether assertions c++ exist debug builds default kept production code not. obviously project unique question much whether assertions kept cases recommendable good idea. assertion mean: run-time check tests condition false reveals bug software. mechanism program halted maybe really minimal clean-up work . i'm necessarily talking c c++. opinion programmer data case commercial desktop applications keep failing asssertion shows bug go bug risk corrupting user's data. forces test strongly ship makes bugs visible thus easier spot fix. what's opinion experience cheers carl see related question responses updates hey graham assertion error pure simple therefore handled like one. since error handled release mode really need assertions. that's prefer word ""bug"" talking assertions. makes things much clearer. word ""error"" vague. missing file error bug program deal it. trying dereference null pointer bug program acknowledge something smells like bad cheese. hence test pointer assertion presence file normal error-handling code. slight off-topic important point discussion. heads-up assertions break debugger fail not. plenty reasons file could exist completely outside control code: read write rights disk full usb device unplugged etc. since control feel assertions right way deal that. carl thomas yes code complete must say strongly disagree particular advice. say custom memory allocator screws zeroes chunk memory still used object. happens zero pointer object dereferences regularly one invariants pointer never null couple assertions make sure stays way. pointer suddenly null. around hoping works remember we're talking product code there's breaking debugger inspecting local state. real bug user's machine. carl assertions stay production code"
1436,"first started using revision control systems like cvs svn really understand concepts ""trunk"" branching merging tagging. i'm starting understand concepts really get importance power behind them. i'm starting properly. think... understand far: latest release stable version code sit trunk beta versions bleeding edge versions sit inside branches directory different directories beta release merged trunk release. simplistic view things repository layouts guys recommend makes difference i'm using subversion. repository organisation"
1437,clever programmers keep track handy programming tricks useful information pick many years experience things like useful compiler arguments ide short-cuts clever code snippets etc. sometimes find frustrated looking something used know year two ago. ie favorites probably represent good chunk internet late 1990s clearly effective least . getting old so.. ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ tracking useful information
1438,"probably best shown example. enum attributes: public enum myenum custominfo ""this custom attrib"" none = 0 custominfo ""this another attrib"" valuea custominfo ""this extra flag"" allowsomething = true valueb want get attributes instance: public custominfoattribute getinfo myenum enuminput type typeofenum = enuminput.gettype typeof myenum problem getfield takes string .tostring enums slow fieldinfo fi = typeofenum.getfield enuminput.tostring get attribute field return fi.getcustomattributes typeof custominfoattribute false . firstordefault linq method get first null custominfoattribute use operator convert using reflection expect slowness seems messy convert enum value string reflects name already instance it. anyone better way anyone know quick way get custom attributes enum value"
1439,running number ssl-encrypted websites need generate certificates run these. internal applications need purchase certificate create own. found quite tedious everything using openssl time figure kind thing probably done software exists it. preference linux-based systems would prefer command-line system rather gui. anyone suggestions certificate authority software available
1440,compiling c++ .net application get 104 warnings type: warning c4341 - 'xx': signed value range enum constant xx wchar long bit binary guid ... can't seem remove warnings whatever do. double click takes part code uses odbcparameters - try test project rest stuff odbcparameters give warnings. idea get rid warnings they're making real warnings code i've actually written hard see - gives horrible feeling knowing app 104 warnings! warning c4341 - 'xx': signed value range enum constant
1441,"currently developing .net application consists 20 projects. projects compiled using .net 3.5 others still .net 2.0 projects far problem . problem include external component always get following warning: ""found conflicts different versions dependent assembly"". exactly warning mean maybe possibility exclude warning like using #pragma disable source- code files warning: found conflicts different versions dependent assembly"
1442,recommendations javascript form validation library. could try roll i'm good javascript . needs support checking required fields preferably regexp validation fields. recommendation javascript form validation library
1443,i've found resources subject require deep understanding smalltalk haskell neither know. learn parser combinators
1444,someone experiment rdf storage solution like sesame i'm looking performance review kind solution compared traditional database solution. performance comparison rdf storage vs traditional database
1445,way select data one multiple conditions occur field example: would typically write statement as: select table field = 1 field = 2 field = 3 way instead say something like: select table field = 1 2 3 help appreciated. select ..... ....
1446,"suppose two applications written c#. first third party application raises event called ""onemailsent"". second custom app i've written would like somehow subscribe ""onemailsent"" even first application. way could somehow attach second application instance first application listen ""onemailsent"" event clarification specific scenario custom third party application written c# raises ""onemailsent"" event. see event exists using reflector. want actions take place component sends email. efficient way think would able use form ipc anders suggested listen onemailsent event raised third party component. component written c# toying idea writing another c# application attach executing process detect onemailsent event raise execute event handling code. might missing something understand remoting works would need server defining sort contract client subscribe to. thinking scenario someone written standalone application like outlook example exposes events would like subscribe another application. guess scenario i'm thinking .net debugger attach executing assemblies inspect code whilst running. listen events another application"
1447,current setup.py script works okay installs tvnamer.py tool tvnamer.py site-packages somewhere similar.. make setup.py install tvnamer.py tvnamer better way installing command-line applications what's best way distribute python command-line tools
1448,rather classic ui situation - two listboxes named selecteditems availableitems - idea items already selected live selecteditems items available adding selecteditems i.e. every item already live availableitems. also < > buttons move current selection one list addition double clicking works fine . possible wpf set style trigger enable disable move buttons depending anything selected either listbox selecteditems left side < button move selected availableitems list. however items selected availableitems.selectedindex == -1 want button disabled isenabled == false - way around list button. possible directly xaml need create complex logic codebehind handle enabling button wpf depending listbox.selectedindex
1449,trying avoid .net webbrowser control need navigate url print rendered html inbuilt goodies . wrapping ie dll seems bit heavyweight. simply require something display basic html marked text - html equivalent richtextbox effect. anyone experiences recommendations war stories recommendations lightweight .net win forms html renderer controls
1450,i'm thinking particular display pagination controls using language c# java. x items want display chunks per page many pages needed round result integer division
1451,anyone worked get powershell use app.config files couple .net dll's i'd like use one scripts expect config sections present app.config web.config. powershell app.config
1452,process linux that's getting segmentation fault. tell generate core dump fails generate core dump linux segmentation fault
1453,"i've searched little gotten particularly straight answer. c guess c++ determine comes % using printf . example: double radius = 1.0 double area = 0.0 area = calculatearea radius printf ""%10.1f %10.2\n"" radius area took example straight book c language. make sense all. come 10.1f 10.2f could someone please explain comes %"
1454,alright might bit long shot problems getting ankhsvn connect visual studio 2005 external svn server. network proxy way can't seem find way ankhsvn configure proxy seem detecting internet explorer proxy configuration. way resolve issue likely work ankhsvn cannot connect due proxy
1455,we've developing windows based application using java want make mac port reverse code java 6 java 5. easy way rather re-coding java 6 specific code we'd like keep code date. easy way backport java 6 code java 5
1456,"i've asked write windows service c# periodically monitor email inbox insert details messages received database table. instinct via pop3 sure enough googling "".net pop3 component"" produces countless ok 146 000 results. anybody done anything similar recommend decent component break bank hundred dollars maximum would benefits using imap rather pop3 recommendations .net component access email inbox"
1457,asked couple coworkers ankhsvn neither one happy it. one went far saying ankhsvn messed devenv several times. what's experience ankhsvn really miss ide integrated source control tool. ankhsvn good
1458,create self signed ssl certificate apache server use testing web app create self signed ssl certificate use testing web app
1459,questions: vista edition best developer machine vista xp dev machine people recommending 64 bit explain 3gb addressable ram 32 bit gives visual studio benefit extra ram went 64 bit xp back 32 bit due 90% software using 32 bit anyway issues drivers software 64 bit. go 64 bit os
1460,really done ton database work years become unaccustomed tools available. back years ago working oracle databases using primarily toad little bit ms access tools choice prototype queries using applications. really loved toad super intuitive really easy use i'm hoping find something similar ms sql server. something open source free preferable since doubt client want pay anything i'm willing hear suggestions things cost money far away best class tool available. sql query tools
1461,"wanted spiffy rounded corners web project i'm currently working on. thought i'd try accomplish using javascript css effort keep requests image files minimum yes know possible combine required rounded corner shapes one image also wanted able change background color pretty much fly. already utilize jquery looked excellent rounded corners plugin worked like charm every browser tried. developer however noticed opportunity make bit efficient. script already includes code detecting current browser supports webkit rounded corners safari based browsers . uses raw css instead creating layers divs. thought would awesome kind check could performed see browser supports gecko-specific -moz-border-radius- properties utilize them. check webkit support looks like this: var webkitavailable = false try webkitavailable = document.defaultview.getcomputedstyle 0 null '-webkit-border-radius' != undefined catch err however work -moz-border-radius started checking alternatives. fallback solution course use browser detection that's far recommended practice ofcourse. best solution yet follows. var mozborderavailable = false try var = jquery '<div>' .css '-moz-border-radius' '1px' mozborderavailable = $ .css '-moz-border-radius-topleft' == '1px' = null catch err based theory gecko ""expands"" composite -moz-border-radius four sub-properties -moz-border-radius-topleft -moz-border-radius-topright -moz-border-radius-bottomleft -moz-border-radius-bottomright javascript css guru better solution feature request page http: plugins.jquery.com node 3619 best way checking -moz-border-radius support"
