,AllTags,tags_list,corrected_tags_list
1696,vim editor,"['vim', 'editor']",[]
1697,.net rule-engine,"['.net', 'rule-engine']",['.net']
1698,java interface methods static,"['java', 'interface', 'methods', 'static']",['java']
1699,postgresql indexing gwt-gin gist-index,"['postgresql', 'indexing', 'gwt-gin', 'gist-index']",[]
1700,git branch,"['git', 'branch']",[]
1701,caching .net-2.0 memcached enterprise-library,"['caching', '.net-2.0', 'memcached', 'enterprise-library']",[]
1702,asp.net,['asp.net'],['asp.net']
1703,math,['math'],[]
1704,browser web-applications printing,"['browser', 'web-applications', 'printing']",[]
1705,java python garbage-collection,"['java', 'python', 'garbage-collection']","['java', 'python']"
1706,exception,['exception'],[]
1707,c# .net configuration encryption configuration-files,"['c#', '.net', 'configuration', 'encryption', 'configuration-files']","['c#', '.net']"
1708,c# winapi pinvoke,"['c#', 'winapi', 'pinvoke']",['c#']
1709,.net wpf,"['.net', 'wpf']",['.net']
1710,html css,"['html', 'css']","['html', 'css']"
1711,objective-c c-preprocessor,"['objective-c', 'c-preprocessor']",[]
1712,c# .net,"['c#', '.net']","['c#', '.net']"
1713,openid single-sign-on,"['openid', 'single-sign-on']",[]
1714,python ruby semantics zemanta,"['python', 'ruby', 'semantics', 'zemanta']","['python', 'ruby']"
1715,c# .net-2.0 controls ms-project gantt-chart,"['c#', '.net-2.0', 'controls', 'ms-project', 'gantt-chart']",['c#']
1716,c# asp.net controls,"['c#', 'asp.net', 'controls']","['c#', 'asp.net']"
1717,java regex,"['java', 'regex']",['java']
1718,http authentication coldfusion active-directory ntlm,"['http', 'authentication', 'coldfusion', 'active-directory', 'ntlm']",[]
1719,algorithm,['algorithm'],[]
1720,python django unicode,"['python', 'django', 'unicode']",['python']
1721,sharepoint design-patterns transactions,"['sharepoint', 'design-patterns', 'transactions']",[]
1722,multithreading concurrency erlang,"['multithreading', 'concurrency', 'erlang']",[]
1723,c++ return-value main,"['c++', 'return-value', 'main']",['c++']
1724,tfs tfs-2005,"['tfs', 'tfs-2005']",[]
1725,php database image png gd,"['php', 'database', 'image', 'png', 'gd']","['php', 'database']"
1726,php mysql database lamp,"['php', 'mysql', 'database', 'lamp']","['php', 'mysql', 'database']"
1727,c# .net 64-bit clr x86-64,"['c#', '.net', '64-bit', 'clr', 'x86-64']","['c#', '.net']"
1728,vba automation ms-word,"['vba', 'automation', 'ms-word']",[]
1729,naming,['naming'],[]
1730,.net wcf firewall push duplex,"['.net', 'wcf', 'firewall', 'push', 'duplex']",['.net']
1731,c# multithreading events,"['c#', 'multithreading', 'events']",['c#']
1732,ios iphone windows,"['ios', 'iphone', 'windows']",['windows']
1733,php data-structures,"['php', 'data-structures']",['php']
1734,java image coldfusion,"['java', 'image', 'coldfusion']",['java']
1735,javascript html,"['javascript', 'html']","['javascript', 'html']"
1736,regex,['regex'],[]
1737,javascript jquery asp.net ajax updatepanel,"['javascript', 'jquery', 'asp.net', 'ajax', 'updatepanel']","['javascript', 'asp.net']"
1738,ios macos,"['ios', 'macos']",[]
1739,c kr-c c89,"['c', 'kr-c', 'c89']",['c']
1740,asp.net compression gzip,"['asp.net', 'compression', 'gzip']",['asp.net']
1741,powershell,['powershell'],[]
1742,php coding-style,"['php', 'coding-style']",['php']
1743,perl file-io filesystems,"['perl', 'file-io', 'filesystems']",[]
1744,sql sql-server tsql datetime user-defined-functions,"['sql', 'sql-server', 'tsql', 'datetime', 'user-defined-functions']","['sql', 'sql-server']"
1745,iphone macos virtualization,"['iphone', 'macos', 'virtualization']",[]
1746,python string-formatting,"['python', 'string-formatting']",['python']
1747,c# .net exception-handling rethrow,"['c#', '.net', 'exception-handling', 'rethrow']","['c#', '.net']"
1748,windows-vista windows-xp,"['windows-vista', 'windows-xp']",[]
1749,python http urllib,"['python', 'http', 'urllib']",['python']
1750,java unit-testing mocking,"['java', 'unit-testing', 'mocking']","['java', 'unit-testing']"
1751,algorithm excel language-agnostic,"['algorithm', 'excel', 'language-agnostic']",['language-agnostic']
1752,string powershell parameters arguments,"['string', 'powershell', 'parameters', 'arguments']",[]
1753,ruby encoding utf-8,"['ruby', 'encoding', 'utf-8']",['ruby']
1754,sql-server sql-server-2005 compare,"['sql-server', 'sql-server-2005', 'compare']",['sql-server']
1755,php loops,"['php', 'loops']",['php']
1756,asp.net viewstate,"['asp.net', 'viewstate']",['asp.net']
1757,java eclipse charts swt,"['java', 'eclipse', 'charts', 'swt']",['java']
1758,database,['database'],['database']
1759,regex perl replace,"['regex', 'perl', 'replace']",[]
1760,programming-languages,['programming-languages'],[]
1761,c# asp.net excel ado.net,"['c#', 'asp.net', 'excel', 'ado.net']","['c#', 'asp.net']"
1762,security session cookies,"['security', 'session', 'cookies']",[]
1763,c++ sql mysql c database,"['c++', 'sql', 'mysql', 'c', 'database']","['c++', 'sql', 'mysql', 'c', 'database']"
1764,terminal-services rdp,"['terminal-services', 'rdp']",[]
1765,sql stored-procedures,"['sql', 'stored-procedures']",['sql']
1766,javascript html flash adobe,"['javascript', 'html', 'flash', 'adobe']","['javascript', 'html']"
1767,javascript namespaces,"['javascript', 'namespaces']",['javascript']
1768,c# sql-server,"['c#', 'sql-server']","['c#', 'sql-server']"
1769,ruby-on-rails ruby plugins,"['ruby-on-rails', 'ruby', 'plugins']",['ruby']
1770,c# asp.net,"['c#', 'asp.net']","['c#', 'asp.net']"
1771,testing,['testing'],[]
1772,.net build-process cruisecontrol.net,"['.net', 'build-process', 'cruisecontrol.net']",['.net']
1773,architecture web-applications lamp platform wisa,"['architecture', 'web-applications', 'lamp', 'platform', 'wisa']",[]
1774,windows winapi win64,"['windows', 'winapi', 'win64']",['windows']
1775,asp.net caching back-button,"['asp.net', 'caching', 'back-button']",['asp.net']
1776,open-source licensing,"['open-source', 'licensing']",[]
1777,security testing,"['security', 'testing']",[]
1778,java xml,"['java', 'xml']","['java', 'xml']"
1779,functional-programming lisp scheme,"['functional-programming', 'lisp', 'scheme']",[]
1780,php javascript ajax ide,"['php', 'javascript', 'ajax', 'ide']","['php', 'javascript']"
1781,c++ winapi usb hid device,"['c++', 'winapi', 'usb', 'hid', 'device']",['c++']
1782,regex grep,"['regex', 'grep']",[]
1783,javascript,['javascript'],['javascript']
1784,.net string,"['.net', 'string']",['.net']
1785,c# coding-style,"['c#', 'coding-style']",['c#']
1786,functional-programming glossary paradigms procedural-programming,"['functional-programming', 'glossary', 'paradigms', 'procedural-programming']",[]
1787,algorithm math prime-factoring,"['algorithm', 'math', 'prime-factoring']",[]
1788,css asp.net themes,"['css', 'asp.net', 'themes']","['css', 'asp.net']"
1789,version-control,['version-control'],[]
1790,apache-flex actionscript-3 flash,"['apache-flex', 'actionscript-3', 'flash']",[]
1791,c# .net,"['c#', '.net']","['c#', '.net']"
1792,python windows process subprocess fork,"['python', 'windows', 'process', 'subprocess', 'fork']","['python', 'windows']"
1793,java jakarta-ee gigaspaces,"['java', 'jakarta-ee', 'gigaspaces']",['java']
1794,java collections,"['java', 'collections']",['java']
1795,visual-studio-2008 unit-testing,"['visual-studio-2008', 'unit-testing']",['unit-testing']
1796,dsl finance,"['dsl', 'finance']",[]
1797,windows-vista,['windows-vista'],[]
1798,wcf,['wcf'],[]
1799,asp.net iis iis-6,"['asp.net', 'iis', 'iis-6']",['asp.net']
1800,algorithm math trigonometry geography,"['algorithm', 'math', 'trigonometry', 'geography']",[]
1801,.net gac,"['.net', 'gac']",['.net']
1802,search audio speech-recognition,"['search', 'audio', 'speech-recognition']",[]
1803,windows active-directory active-directory-group,"['windows', 'active-directory', 'active-directory-group']",['windows']
1804,open-source tdd,"['open-source', 'tdd']",[]
1805,asp.net report,"['asp.net', 'report']",['asp.net']
1806,unit-testing testing process,"['unit-testing', 'testing', 'process']",['unit-testing']
1807,.net datetime nlp,"['.net', 'datetime', 'nlp']",['.net']
1808,.net visual-studio performance resharper,"['.net', 'visual-studio', 'performance', 'resharper']","['.net', 'visual-studio', 'performance']"
1809,oop class-design program-structure,"['oop', 'class-design', 'program-structure']",[]
1810,database postgresql database-design crud audit-trail,"['database', 'postgresql', 'database-design', 'crud', 'audit-trail']",['database']
1811,c# refactoring,"['c#', 'refactoring']",['c#']
1812,windows vb6 installation,"['windows', 'vb6', 'installation']",['windows']
1813,java templates struts velocity,"['java', 'templates', 'struts', 'velocity']",['java']
1814,wcf web-services,"['wcf', 'web-services']",[]
1815,asp.net-mvc coding-style refactoring,"['asp.net-mvc', 'coding-style', 'refactoring']",[]
1816,python ruby git lines-of-code,"['python', 'ruby', 'git', 'lines-of-code']","['python', 'ruby']"
1817,c++ opengl glut,"['c++', 'opengl', 'glut']",['c++']
1818,algorithm language-agnostic,"['algorithm', 'language-agnostic']",['language-agnostic']
1819,algorithm image image-processing image-recognition,"['algorithm', 'image', 'image-processing', 'image-recognition']",[]
1820,qa pair-programming,"['qa', 'pair-programming']",[]
1821,performance recursion,"['performance', 'recursion']",['performance']
1822,web-services rest,"['web-services', 'rest']",[]
1823,ruby serialization lambda proc-object,"['ruby', 'serialization', 'lambda', 'proc-object']",['ruby']
1824,markdown markup glossary,"['markdown', 'markup', 'glossary']",[]
1825,visual-studio svn version-control visualsvn ankhsvn,"['visual-studio', 'svn', 'version-control', 'visualsvn', 'ankhsvn']","['visual-studio', 'svn']"
1826,javascript safari,"['javascript', 'safari']",['javascript']
1827,windows visual-studio licensing,"['windows', 'visual-studio', 'licensing']","['windows', 'visual-studio']"
1828,c++ linux ide,"['c++', 'linux', 'ide']","['c++', 'linux']"
1829,php arrays class,"['php', 'arrays', 'class']",['php']
1830,c# .net asp.net-mvc castle-monorail,"['c#', '.net', 'asp.net-mvc', 'castle-monorail']","['c#', '.net']"
1831,sql language-agnostic cursor,"['sql', 'language-agnostic', 'cursor']","['sql', 'language-agnostic']"
1832,hadoop hbase hive,"['hadoop', 'hbase', 'hive']",[]
1833,c# sql sql-server sql-server-2005,"['c#', 'sql', 'sql-server', 'sql-server-2005']","['c#', 'sql', 'sql-server']"
1834,java annotations glossary,"['java', 'annotations', 'glossary']",['java']
1835,c# code-injection,"['c#', 'code-injection']",['c#']
1836,c# .net,"['c#', '.net']","['c#', '.net']"
1837,c# file copy,"['c#', 'file', 'copy']",['c#']
1838,language-agnostic oop,"['language-agnostic', 'oop']",['language-agnostic']
1839,functional-programming paradigms glossary,"['functional-programming', 'paradigms', 'glossary']",[]
1840,ruby-on-rails ruby authentication,"['ruby-on-rails', 'ruby', 'authentication']",['ruby']
1841,ruby shoes irc,"['ruby', 'shoes', 'irc']",['ruby']
1842,c# .net file-io,"['c#', '.net', 'file-io']","['c#', '.net']"
1843,model-view-controller web-frameworks,"['model-view-controller', 'web-frameworks']",[]
1844,c exception-handling language-agnostic goto,"['c', 'exception-handling', 'language-agnostic', 'goto']","['c', 'language-agnostic']"
1845,.net security,"['.net', 'security']",['.net']
1846,sql-server tsql pivot,"['sql-server', 'tsql', 'pivot']",['sql-server']
1847,database internationalization globalization street-address,"['database', 'internationalization', 'globalization', 'street-address']",['database']
1848,model-view-controller mvp passive-view architectural-patterns,"['model-view-controller', 'mvp', 'passive-view', 'architectural-patterns']",[]
1849,silverlight,['silverlight'],[]
1850,list dictionary profanity,"['list', 'dictionary', 'profanity']",[]
1851,parsing ocaml grammar yacc,"['parsing', 'ocaml', 'grammar', 'yacc']",[]
1852,windows svn,"['windows', 'svn']","['windows', 'svn']"
1853,sql-server-2005 tsql,"['sql-server-2005', 'tsql']",[]
1854,c++ boolean bitwise-operators,"['c++', 'boolean', 'bitwise-operators']",['c++']
1855,perl wikipedia lwp,"['perl', 'wikipedia', 'lwp']",[]
1856,java,['java'],['java']
1857,ruby-on-rails ruby gem,"['ruby-on-rails', 'ruby', 'gem']",['ruby']
1858,visual-studio build-automation,"['visual-studio', 'build-automation']",['visual-studio']
1859,java web-frameworks rich-internet-application,"['java', 'web-frameworks', 'rich-internet-application']",['java']
1860,visual-studio vim ide editor,"['visual-studio', 'vim', 'ide', 'editor']",['visual-studio']
1861,oop,['oop'],[]
1862,php include,"['php', 'include']",['php']
1863,encapsulation abstraction glossary ooad information-hiding,"['encapsulation', 'abstraction', 'glossary', 'ooad', 'information-hiding']",[]
1864,javascript design-patterns singleton strategy-pattern factory-method,"['javascript', 'design-patterns', 'singleton', 'strategy-pattern', 'factory-method']",['javascript']
1865,c# .net file io,"['c#', '.net', 'file', 'io']","['c#', '.net']"
1866,linux operating-system kernel bsd osdev,"['linux', 'operating-system', 'kernel', 'bsd', 'osdev']",['linux']
1867,php performance high-load,"['php', 'performance', 'high-load']","['php', 'performance']"
1868,javascript eclipse plugins editor,"['javascript', 'eclipse', 'plugins', 'editor']",['javascript']
1869,svn vb6,"['svn', 'vb6']",['svn']
1870,api blogs,"['api', 'blogs']",[]
1871,java html regex xss,"['java', 'html', 'regex', 'xss']","['java', 'html']"
1872,web-applications assemblies versioning,"['web-applications', 'assemblies', 'versioning']",[]
1873,c# .net rss atom-feed,"['c#', '.net', 'rss', 'atom-feed']","['c#', '.net']"
1874,firefox firefox-addon add-on,"['firefox', 'firefox-addon', 'add-on']",[]
1875,sql-server,['sql-server'],['sql-server']
1876,xna artificial-intelligence,"['xna', 'artificial-intelligence']",[]
1877,build-process build-automation,"['build-process', 'build-automation']",[]
1878,javascript jquery string escaping,"['javascript', 'jquery', 'string', 'escaping']",['javascript']
1879,asp.net javascript html,"['asp.net', 'javascript', 'html']","['asp.net', 'javascript', 'html']"
1880,.net memory,"['.net', 'memory']",['.net']
1881,javascript settimeout,"['javascript', 'settimeout']",['javascript']
1882,c for-loop post-increment pre-increment,"['c', 'for-loop', 'post-increment', 'pre-increment']",['c']
1883,java xml,"['java', 'xml']","['java', 'xml']"
1884,c gcc for-loop,"['c', 'gcc', 'for-loop']",['c']
1885,c performance optimization post-increment pre-increment,"['c', 'performance', 'optimization', 'post-increment', 'pre-increment']","['c', 'performance']"
1886,c memory,"['c', 'memory']",['c']
1887,c++ performance oop post-increment pre-increment,"['c++', 'performance', 'oop', 'post-increment', 'pre-increment']","['c++', 'performance']"
1888,sql,['sql'],['sql']
1889,python windows cmd,"['python', 'windows', 'cmd']","['python', 'windows']"
1890,php unit-testing user-interface simpletest,"['php', 'unit-testing', 'user-interface', 'simpletest']","['php', 'unit-testing']"
1891,.net windows registry,"['.net', 'windows', 'registry']","['.net', 'windows']"
1892,debugging firefox visual-studio-2005,"['debugging', 'firefox', 'visual-studio-2005']",[]
1893,ssas olap mdx,"['ssas', 'olap', 'mdx']",[]
1894,unit-testing language-agnostic tdd,"['unit-testing', 'language-agnostic', 'tdd']","['unit-testing', 'language-agnostic']"
1895,java generics syntax,"['java', 'generics', 'syntax']",['java']
1896,.net wcf web-services,"['.net', 'wcf', 'web-services']",['.net']
1897,c++ functional-programming,"['c++', 'functional-programming']",['c++']
1898,c# colors rgb,"['c#', 'colors', 'rgb']",['c#']
1899,java java-io,"['java', 'java-io']",['java']
1900,html css firefox cross-browser,"['html', 'css', 'firefox', 'cross-browser']","['html', 'css']"
1901,domain-driven-design,['domain-driven-design'],[]
1902,build lisp common-lisp clisp,"['build', 'lisp', 'common-lisp', 'clisp']",[]
1903,language-agnostic,['language-agnostic'],['language-agnostic']
1904,python binary io buffer,"['python', 'binary', 'io', 'buffer']",['python']
1905,php image,"['php', 'image']",['php']
1906,php html unicode internationalization,"['php', 'html', 'unicode', 'internationalization']","['php', 'html']"
1907,algorithm correctness formal-methods formal-verification model-checking,"['algorithm', 'correctness', 'formal-methods', 'formal-verification', 'model-checking']",[]
1908,php arrays,"['php', 'arrays']",['php']
1909,c# .net windows,"['c#', '.net', 'windows']","['c#', '.net', 'windows']"
1910,javascript html,"['javascript', 'html']","['javascript', 'html']"
1911,sql optimization,"['sql', 'optimization']",['sql']
1912,java swift-mt,"['java', 'swift-mt']",['java']
1913,c# winforms,"['c#', 'winforms']","['c#', 'winforms']"
1914,html css xhtml,"['html', 'css', 'xhtml']","['html', 'css']"
1915,c# asp.net unit-testing mocking,"['c#', 'asp.net', 'unit-testing', 'mocking']","['c#', 'asp.net', 'unit-testing']"
1916,regex language-agnostic seo friendly-url slug,"['regex', 'language-agnostic', 'seo', 'friendly-url', 'slug']",['language-agnostic']
1917,c posix signals sigprocmask,"['c', 'posix', 'signals', 'sigprocmask']",['c']
1918,c# c swig,"['c#', 'c', 'swig']","['c#', 'c']"
1919,arrays hash language-agnostic,"['arrays', 'hash', 'language-agnostic']",['language-agnostic']
1920,c# vb.net .net-2.0,"['c#', 'vb.net', '.net-2.0']",['c#']
1921,wcf serialization soap domain-driven-design soa,"['wcf', 'serialization', 'soap', 'domain-driven-design', 'soa']",[]
1922,language-agnostic nlp,"['language-agnostic', 'nlp']",['language-agnostic']
1923,c# .net vb.net winforms automated-tests,"['c#', '.net', 'vb.net', 'winforms', 'automated-tests']","['c#', '.net', 'winforms']"
1924,c# .net string replace,"['c#', '.net', 'string', 'replace']","['c#', '.net']"
1925,flash actionscript,"['flash', 'actionscript']",[]
1926,javascript calendar,"['javascript', 'calendar']",['javascript']
1927,.net bignum,"['.net', 'bignum']",['.net']
1928,c# lambda,"['c#', 'lambda']",['c#']
1929,plugins content-management-system,"['plugins', 'content-management-system']",[]
1930,java plugins plugin-architecture,"['java', 'plugins', 'plugin-architecture']",['java']
1931,css abstraction,"['css', 'abstraction']",['css']
1932,c# .net performance reflection,"['c#', '.net', 'performance', 'reflection']","['c#', '.net', 'performance']"
1933,sql stored-procedures db2,"['sql', 'stored-procedures', 'db2']",['sql']
1934,c++ c boolean standards,"['c++', 'c', 'boolean', 'standards']","['c++', 'c']"
1935,asp.net html vb.net,"['asp.net', 'html', 'vb.net']","['asp.net', 'html']"
1936,java unix windows-services daemon,"['java', 'unix', 'windows-services', 'daemon']",['java']
1937,java model-view-controller master-pages,"['java', 'model-view-controller', 'master-pages']",['java']
1938,synchronization security rsync,"['synchronization', 'security', 'rsync']",[]
1939,java memory resources system,"['java', 'memory', 'resources', 'system']",['java']
1940,sorting big-o,"['sorting', 'big-o']",[]
1941,java cross-platform shutdown,"['java', 'cross-platform', 'shutdown']",['java']
1942,asp.net dynamic-data,"['asp.net', 'dynamic-data']",['asp.net']
1943,python gtk pygtk sdl pygame,"['python', 'gtk', 'pygtk', 'sdl', 'pygame']",['python']
1944,python pdf text-extraction pdf-scraping,"['python', 'pdf', 'text-extraction', 'pdf-scraping']",['python']
1945,coldfusion railo cfml,"['coldfusion', 'railo', 'cfml']",[]
1946,model-view-controller validation forms,"['model-view-controller', 'validation', 'forms']",[]
1947,c++ c visual-studio memory-leaks,"['c++', 'c', 'visual-studio', 'memory-leaks']","['c++', 'c', 'visual-studio']"
1948,objective-c string,"['objective-c', 'string']",[]
1949,objective-c,['objective-c'],[]
1950,html html-select,"['html', 'html-select']",['html']
1951,java xml configuration frameworks configurationmanager,"['java', 'xml', 'configuration', 'frameworks', 'configurationmanager']","['java', 'xml']"
1952,c++ visual-c++ execution compile-time,"['c++', 'visual-c++', 'execution', 'compile-time']",['c++']
1953,bash unix scripting,"['bash', 'unix', 'scripting']",[]
1954,mysql,['mysql'],['mysql']
1955,c# reflection aop,"['c#', 'reflection', 'aop']",['c#']
1956,python reflection,"['python', 'reflection']",['python']
1957,yacc,['yacc'],[]
1958,visual-studio-2008 visual-studio-2005 projects-and-solutions,"['visual-studio-2008', 'visual-studio-2005', 'projects-and-solutions']",[]
1959,unix sockets networking udp ioctl,"['unix', 'sockets', 'networking', 'udp', 'ioctl']",[]
1960,apache macos 64-bit,"['apache', 'macos', '64-bit']",[]
1961,language-agnostic glossary language-binding,"['language-agnostic', 'glossary', 'language-binding']",['language-agnostic']
1962,data-binding glossary,"['data-binding', 'glossary']",[]
1963,c++ build-process continuous-integration,"['c++', 'build-process', 'continuous-integration']",['c++']
1964,asp.net glossary,"['asp.net', 'glossary']",['asp.net']
1965,ruby performance ruby-1.9,"['ruby', 'performance', 'ruby-1.9']","['ruby', 'performance']"
1966,artificial-intelligence,['artificial-intelligence'],[]
1967,sql database syntax database-agnostic ansi-sql-92,"['sql', 'database', 'syntax', 'database-agnostic', 'ansi-sql-92']","['sql', 'database']"
1968,algorithm language-agnostic image image-processing,"['algorithm', 'language-agnostic', 'image', 'image-processing']",['language-agnostic']
1969,encryption leaderboard,"['encryption', 'leaderboard']",[]
1970,oracle,['oracle'],[]
1971,php arrays associative-array,"['php', 'arrays', 'associative-array']",['php']
1972,c# sqlite,"['c#', 'sqlite']",['c#']
1973,python django apache hosting,"['python', 'django', 'apache', 'hosting']",['python']
1974,language-agnostic frameworks,"['language-agnostic', 'frameworks']",['language-agnostic']
1975,testing integration-testing mbt,"['testing', 'integration-testing', 'mbt']",[]
1976,.net clr,"['.net', 'clr']",['.net']
1977,php oop constructor,"['php', 'oop', 'constructor']",['php']
1978,language-agnostic bignum,"['language-agnostic', 'bignum']",['language-agnostic']
1979,c++ c dll,"['c++', 'c', 'dll']","['c++', 'c']"
1980,css internet-explorer firefox cross-browser,"['css', 'internet-explorer', 'firefox', 'cross-browser']",['css']
1981,powershell components,"['powershell', 'components']",[]
1982,sql-server model-view-controller asp-classic vbscript,"['sql-server', 'model-view-controller', 'asp-classic', 'vbscript']",['sql-server']
1983,c# .net winforms webkit gecko,"['c#', '.net', 'winforms', 'webkit', 'gecko']","['c#', '.net', 'winforms']"
1984,c# nhibernate windows-services .net-1.1,"['c#', 'nhibernate', 'windows-services', '.net-1.1']",['c#']
1985,c++ templates type-safety,"['c++', 'templates', 'type-safety']",['c++']
1986,memory stack-overflow,"['memory', 'stack-overflow']",[]
1987,javascript calendar webui,"['javascript', 'calendar', 'webui']",['javascript']
1988,version-control harvest,"['version-control', 'harvest']",[]
1989,vim cvs vimdiff,"['vim', 'cvs', 'vimdiff']",[]
1990,c# collections filtering,"['c#', 'collections', 'filtering']",['c#']
1991,c#,['c#'],['c#']
1992,javascript reserved-words,"['javascript', 'reserved-words']",['javascript']
1993,asp.net,['asp.net'],['asp.net']
1994,algorithm language-agnostic,"['algorithm', 'language-agnostic']",['language-agnostic']
1995,java audio,"['java', 'audio']",['java']
1996,c# model-view-controller windows-mobile compact-framework design-patterns,"['c#', 'model-view-controller', 'windows-mobile', 'compact-framework', 'design-patterns']",['c#']
1997,java android overlay android-mapview,"['java', 'android', 'overlay', 'android-mapview']",['java']
1998,design-patterns,['design-patterns'],[]
1999,c# .net,"['c#', '.net']","['c#', '.net']"
2000,exception,['exception'],[]
2001,javascript jquery glossary resig,"['javascript', 'jquery', 'glossary', 'resig']",['javascript']
2002,visual-studio visual-studio-2008 code-snippets,"['visual-studio', 'visual-studio-2008', 'code-snippets']",['visual-studio']
2003,bash,['bash'],[]
2004,visual-studio visual-studio-2005 shortcuts,"['visual-studio', 'visual-studio-2005', 'shortcuts']",['visual-studio']
2005,design-by-contract,['design-by-contract'],[]
2006,java swing ide,"['java', 'swing', 'ide']",['java']
2007,javascript activex,"['javascript', 'activex']",['javascript']
2008,batch-file arguments,"['batch-file', 'arguments']",[]
2009,sql-server nocount,"['sql-server', 'nocount']",['sql-server']
2010,performance mod-rewrite,"['performance', 'mod-rewrite']",['performance']
2011,reporting-services textbox multiline,"['reporting-services', 'textbox', 'multiline']",[]
2012,c# .net,"['c#', '.net']","['c#', '.net']"
2013,java html,"['java', 'html']","['java', 'html']"
2014,python,['python'],['python']
2015,jquery ajax json character-encoding,"['jquery', 'ajax', 'json', 'character-encoding']",[]
2016,java html parsing html-content-extraction,"['java', 'html', 'parsing', 'html-content-extraction']","['java', 'html']"
2017,sql-server tsql,"['sql-server', 'tsql']",['sql-server']
2018,c++ performance profiling,"['c++', 'performance', 'profiling']","['c++', 'performance']"
2019,model-view-controller design-patterns,"['model-view-controller', 'design-patterns']",[]
2020,json plsql,"['json', 'plsql']",[]
2021,python user-interface drag-and-drop wxpython wxwidgets,"['python', 'user-interface', 'drag-and-drop', 'wxpython', 'wxwidgets']",['python']
2022,asp.net-mvc directory-structure,"['asp.net-mvc', 'directory-structure']",[]
2023,tomcat servlets web.xml illegalargumentexception servlet-mapping,"['tomcat', 'servlets', 'web.xml', 'illegalargumentexception', 'servlet-mapping']",[]
2024,c# optimization reflection lambda c#-3.0,"['c#', 'optimization', 'reflection', 'lambda', 'c#-3.0']",['c#']
2025,c# .net xml xmlwriter,"['c#', '.net', 'xml', 'xmlwriter']","['c#', '.net', 'xml']"
2026,c# timespan,"['c#', 'timespan']",['c#']
2027,version-control visual-sourcesafe perforce,"['version-control', 'visual-sourcesafe', 'perforce']",[]
2028,language-agnostic,['language-agnostic'],['language-agnostic']
2029,c# asp.net vb.net static resolveurl,"['c#', 'asp.net', 'vb.net', 'static', 'resolveurl']","['c#', 'asp.net']"
2030,backup hardware installation,"['backup', 'hardware', 'installation']",[]
2031,.net xpath,"['.net', 'xpath']",['.net']
2032,c# .net sql-server,"['c#', '.net', 'sql-server']","['c#', '.net', 'sql-server']"
2033,c# multithreading,"['c#', 'multithreading']",['c#']
2034,version-control dvcs revision,"['version-control', 'dvcs', 'revision']",[]
2035,c# asp.net,"['c#', 'asp.net']","['c#', 'asp.net']"
2036,visual-studio,['visual-studio'],['visual-studio']
2037,c# events syntax delegates,"['c#', 'events', 'syntax', 'delegates']",['c#']
2038,javascript editor,"['javascript', 'editor']",['javascript']
2039,c# .net constructor interface oop,"['c#', '.net', 'constructor', 'interface', 'oop']","['c#', '.net']"
2040,php screen-scraping,"['php', 'screen-scraping']",['php']
2041,c open-source,"['c', 'open-source']",['c']
2042,linq nhibernate linq-to-sql orm,"['linq', 'nhibernate', 'linq-to-sql', 'orm']",[]
2043,java exception,"['java', 'exception']",['java']
2044,static-analysis fxcop metrics,"['static-analysis', 'fxcop', 'metrics']",[]
2045,excel vba colors,"['excel', 'vba', 'colors']",[]
2046,macos version-control bundle,"['macos', 'version-control', 'bundle']",[]
2047,javascript arrays comparison,"['javascript', 'arrays', 'comparison']",['javascript']
2048,jvm-bytecode,['jvm-bytecode'],[]
2049,c math google-search,"['c', 'math', 'google-search']",['c']
2050,performance logfile-analysis,"['performance', 'logfile-analysis']",['performance']
2051,rss feed,"['rss', 'feed']",[]
2052,fogbugz,['fogbugz'],[]
2053,javascript jquery html,"['javascript', 'jquery', 'html']","['javascript', 'html']"
2054,c++ winapi,"['c++', 'winapi']",['c++']
2055,php html dom,"['php', 'html', 'dom']","['php', 'html']"
2056,java enumeration iterable,"['java', 'enumeration', 'iterable']",['java']
2057,javascript jquery review,"['javascript', 'jquery', 'review']",['javascript']
2058,nhibernate,['nhibernate'],[]
2059,c++ linux epoll,"['c++', 'linux', 'epoll']","['c++', 'linux']"
2060,c# code-formatting,"['c#', 'code-formatting']",['c#']
2061,asp.net javascript ajax,"['asp.net', 'javascript', 'ajax']","['asp.net', 'javascript']"
2062,linux ssh https trafficshaping,"['linux', 'ssh', 'https', 'trafficshaping']",['linux']
2063,amazon-s3 buckets,"['amazon-s3', 'buckets']",[]
2064,c# design-patterns factory,"['c#', 'design-patterns', 'factory']",['c#']
2065,php mamp,"['php', 'mamp']",['php']
2066,bash backup sysadmin rsync,"['bash', 'backup', 'sysadmin', 'rsync']",[]
2067,html css browser usability,"['html', 'css', 'browser', 'usability']","['html', 'css']"
2068,windows operating-system,"['windows', 'operating-system']",['windows']
2069,mysql postgresql,"['mysql', 'postgresql']",['mysql']
2070,mysql ruby-on-rails ruby database rake,"['mysql', 'ruby-on-rails', 'ruby', 'database', 'rake']","['mysql', 'ruby', 'database']"
2071,c# .net linux printing mono,"['c#', '.net', 'linux', 'printing', 'mono']","['c#', '.net', 'linux']"
2072,sql-server database timeout,"['sql-server', 'database', 'timeout']","['sql-server', 'database']"
2073,validation email,"['validation', 'email']",[]
